Mes;Total Nacional;Agricultura, ganadería y pesca;Minas y canteras;Manufactura;Suministro de Electricidad Gas Vapor y Aire acondicionado;Distribución de Agua Alcantarillado y gestión de desechos;Construcción;Comercio;Transporte y almacenamiento;Actividades de Alojamiento;Información y comunicación;Financieras y seguros;Actividades inmobiliarias;Actividades profesionales;Actividades de servicios administrativos y de apoyo;Administración pública y defensa;Enseñanza;Actividades de atención a salud;Actividades entretenimiento;Otras actividades de servicios;Actividades de los hogares como empleadores domésticos;Actividades de Organizaciones
ene 2022;12,931;912;175;2,030;269;56;231;6,163;552;160;340;451;232;460;193;68;134;298;24;180;1;0
feb 2022;13,152;923;243;2,076;299;63;281;5,958;574;185;361;470;237;464;218;66;164;372;26;169;1;0
mar 2022;15,102;1,049;517;2,368;265;55;365;6,825;637;193;399;466;269;536;252;84;258;342;34;186;1;0
abr 2022;14,838;967;474;2,312;291;63;379;6,725;661;207;380;451;268;587;244;75;209;329;28;186;1;0
may 2022;15,177;1,043;393;2,429;287;60;334;7,040;666;207;387;454;286;552;250;89;176;305;30;188;1;0
jun 2022;20,385;1,862;466;2,636;276;66;539;8,264;1,536;395;456;453;390;1,086;374;71;257;765;64;423;3;0
jul 2022;15,173;1,095;404;2,399;266;61;394;7,010;639;215;387;456;279;548;268;78;118;336;28;192;1;0
ago 2022;15,824;1,049;402;2,513;282;61;463;7,290;714;227;411;478;275;570;278;72;197;319;35;187;1;0
sep 2022;15,681;967;461;2,442;277;61;427;7,149;731;205;411;521;277;593;260;73;289;320;34;180;1;0
oct 2022;15,636;1,015;420;2,414;281;57;452;7,145;704;227;398;493;285;617;259;74;227;342;33;191;1;0
nov 2022;16,033;993;504;2,479;283;60;479;7,285;713;206;422;489;305;634;360;77;160;372;33;179;1;0
dic 2022;26,591;2,225;534;3,338;319;85;1,001;10,646;1,897;496;608;582;538;1,757;569;86;291;996;101;513;3;0
ene 2023;14,281;958;271;2,178;312;57;290;6,646;753;199;384;505;254;502;225;90;156;284;36;180;0;0
feb 2023;13,764;927;422;2,047;352;58;318;6,096;727;193;370;460;250;520;244;67;171;357;28;155;0;0
mar 2023;15,942;1,054;562;2,417;324;59;389;6,987;784;224;414;563;286;619;278;88;285;401;34;172;1;0
abr 2023;14,759;951;473;2,178;311;63;427;6,538;760;200;399;501;276;624;267;88;211;296;29;166;0;0
may 2023;15,616;1,037;476;2,366;313;50;412;7,014;783;213;410;545;289;597;264;91;184;379;33;159;0;0
jun 2023;20,725;1,768;477;2,743;316;62;521;8,313;1,773;386;455;526;391;1,045;387;80;250;853;58;368;2;0
jul 2023;15,842;1,049;479;2,401;309;60;452;7,300;756;239;410;536;292;604;291;77;134;375;29;181;0;0
ago 2023;16,170;1,021;471;2,466;310;61;480;7,470;778;253;428;537;289;607;290;76;213;360;33;170;0;0
sep 2023;16,315;1,023;503;2,476;294;62;498;7,494;786;234;424;556;291;638;276;75;306;381;34;182;1;0
oct 2023;16,455;1,104;484;2,555;317;61;514;7,580;777;256;421;564;298;654;280;75;234;375;32;191;0;0
nov 2023;16,887;1,106;502;2,591;326;63;557;7,851;787;248;432;562;312;679;377;75;175;387;33;174;0;0
dic 2023;26,231;2,123;543;3,329;341;76;1,073;10,585;2,036;505;599;665;551;1,683;565;75;289;1,077;73;483;2;0
ene 2024;14,793;1,024;370;2,283;324;61;333;7,123;757;224;380;572;263;512;237;75;169;341;32;180;0;0
feb 2024;14,565;1,050;458;2,233;336;61;383;6,724;746;227;385;552;263;531;254;75;188;413;28;154;0;0
mar 2024;16,034;1,132;547;2,435;331;61;443;7,363;779;250;417;582;285;602;289;75;292;443;34;177;0;0
abr 2024;15,021;1,079;533;2,300;341;62;437;6,915;746;229;402;543;271;609;275;75;223;382;28;172;0;0
may 2024;15,724;1,159;494;2,468;330;60;420;7,444;768;240;412;564;283;581;277;75;194;417;29;163;0;0
jun 2024;20,856;1,939;510;2,851;325;65;551;8,803;1,755;423;459;562;385;1,023;399;75;262;936;49;373;1;0
jul 2024;16,088;1,153;515;2,496;318;63;478;7,726;753;267;414;580;289;592;302;75;142;403;27;186;0;0
ago 2024;16,447;1,118;508;2,564;327;64;507;7,909;778;282;432;585;286;596;305;75;224;380;31;171;0;0
sep 2024;16,619;1,105;541;2,575;313;65;526;7,937;788;262;428;599;289;627;288;75;321;393;32;182;0;0
oct 2024;16,785;1,182;521;2,657;329;64;543;8,026;782;286;425;607;296;644;291;75;246;401;30;194;0;0
